processor, version, num_threads, iteration, time
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2, 16, 3, 0.785465
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2, 16, 4, 0.816611
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2, 16, 5, 0.83663
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2, 24, 1, 0.6729
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2, 24, 2, 0.6762
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2, 24, 3, 0.673473
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2, 24, 4, 0.68539
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2, 24, 5, 0.65855
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2, 36, 1, 0.633132
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2, 36, 2, 0.638171
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2, 36, 3, 0.640841
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2, 36, 4, 0.634125
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2, 36, 5, 0.639504
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 1, 1, 11.3067
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 1, 2, 11.3413
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 1, 3, 11.3128
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 1, 4, 11.2694
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 1, 5, 11.1612
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 4, 1, 2.42033
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 4, 2, 2.87171
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 4, 3, 2.65165
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 4, 4, 2.69439
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 4, 5, 2.40097
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 8, 1, 1.26179
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 8, 2, 1.37215
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 8, 3, 1.32089
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 8, 4, 1.37241
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 8, 5, 1.51796
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 16, 1, 0.834812
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 16, 2, 0.800674
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 16, 3, 0.802944
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 16, 4, 0.757785
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 16, 5, 0.855873
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 24, 1, 0.628264
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 24, 2, 0.658383
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 24, 3, 0.656759
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 24, 4, 0.625939
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 24, 5, 0.675183
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 36, 1, 0.594885
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 36, 2, 0.609189
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 36, 3, 0.593561
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 36, 4, 0.60063
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-3, 36, 5, 0.594788
