processor, partition, iteration, time
 8xi7-6700, 2, 1, 3.59961
 8xi7-6700, 4, 1, 2.12122
 8xi7-6700, 8, 1, 1.90583
 8xi7-6700, 16, 1, 1.88342
 8xi7-6700, 32, 1, 1.99896
